"state","day","rep_estimate","dem_estimate","other_estimate"
"",2009-08-26,NA,NA,NA
"",2009-08-26,NA,NA,NA
"",2009-08-26,NA,NA,NA
"",2009-08-26,NA,NA,NA
"",2009-08-26,NA,NA,NA
"",2009-08-26,NA,NA,NA
"",2009-08-26,NA,NA,NA
"",2009-08-26,NA,NA,NA
"",2009-08-26,NA,NA,NA
"",2009-08-26,NA,NA,NA
"",2009-08-26,NA,NA,NA
"",2009-08-26,NA,NA,NA
"",2009-08-26,NA,NA,NA
"",2009-08-26,NA,NA,NA
"",2009-08-26,NA,NA,NA
"",2009-08-26,NA,NA,NA
"",2009-08-26,NA,NA,NA
"",2009-08-26,NA,NA,NA
"",2009-08-26,NA,NA,NA
"",2009-08-26,NA,NA,NA
"",2009-08-26,NA,NA,NA
"",2009-08-27,NA,NA,NA
"",2009-08-27,NA,NA,NA
"",2009-08-27,NA,NA,NA
"",2009-08-27,NA,NA,NA
"",2009-08-27,NA,NA,NA
"",2009-08-27,NA,NA,NA
"",2009-08-27,NA,NA,NA
"",2009-08-27,NA,NA,NA
"",2009-08-27,NA,NA,NA
"",2009-08-27,NA,NA,NA
"",2009-08-27,NA,NA,NA
"",2009-08-27,NA,NA,NA
"",2009-08-27,NA,NA,NA
"",2009-08-27,NA,NA,NA
"",2009-08-27,NA,NA,NA
"",2009-08-27,NA,NA,NA
"",2009-08-27,NA,NA,NA
"",2009-08-27,NA,NA,NA
"",2009-08-27,NA,NA,NA
"",2009-08-27,NA,NA,NA
"",2009-08-27,NA,NA,NA
"",2009-08-28,NA,NA,NA
"",2009-08-28,NA,NA,NA
"",2009-08-28,NA,NA,NA
"",2009-08-28,NA,NA,NA
"",2009-08-28,NA,NA,NA
"",2009-08-28,NA,NA,NA
"",2009-08-28,NA,NA,NA
"",2009-08-28,NA,NA,NA
"",2009-08-28,NA,NA,NA
"",2009-08-28,NA,NA,NA
"",2009-08-28,NA,NA,NA
"",2009-08-28,NA,NA,NA
"",2009-08-28,NA,NA,NA
"",2009-08-28,NA,NA,NA
"",2009-08-28,NA,NA,NA
"",2009-08-28,NA,NA,NA
"",2009-08-28,NA,NA,NA
"",2009-08-28,NA,NA,NA
"",2009-08-28,NA,NA,NA
"",2009-08-28,NA,NA,NA
"",2009-08-28,NA,NA,NA
