"year","state","week_number","week_start","week_end","biweekly_start","median_sample_size","n_polls","weighted_rep","weighted_dem","weighted_other","total_weight","dem_actual","rep_actual","other_actual","rep_won","rep_incumbent","rep_polling_error","dem_polling_error","polling_error","rep_national_polling_error","dem_national_polling_error","n_states_in_avg"
2006,"connecticut",62,"2006-11-01","2006-11-07","2006-10-25",600,7,8.15618873075154,38.0462682024131,49.4554488089658,3.5807206244975,39.729744258123,9.62285982179759,50.6473959200795,0,-1,1.46667109104605,1.68347605570987,1.57507357337796,0.826801318321219,1.4732484554247,10
2006,"connecticut",61,"2006-10-25","2006-10-31","2006-10-18",600,6,7.98465738247298,37.3712967836879,49.1196737765942,3.49820228015426,39.729744258123,9.62285982179759,50.6473959200795,0,-1,1.63820243932461,2.35844747443513,1.99832495687987,1.23104992112096,2.59598099436714,11
2006,"connecticut",60,"2006-10-18","2006-10-24","2006-10-11",600,3,6.2709171004045,37.5833181785661,50.2061837024963,1.82798608988086,39.729744258123,9.62285982179759,50.6473959200795,0,-1,3.35194272139309,2.14642607955686,2.74918440047498,1.68986183463529,3.66068189747887,11
2006,"connecticut",59,"2006-10-11","2006-10-17","2006-10-04",572,3,4,41.419445123477,49.820687617183,1.84256342249396,39.729744258123,9.62285982179759,50.6473959200795,0,-1,5.62285982179759,-1.68970086535399,1.9665794782218,1.01758510069222,2.13722937897732,10
2006,"connecticut",58,"2006-10-04","2006-10-10","2006-09-27",586,4,4.33554595850821,38.8891728146496,51.0194874519267,2.86750631336444,39.729744258123,9.62285982179759,50.6473959200795,0,-1,5.28731386328938,0.840571443473422,3.0639426533814,2.32999282145822,4.36745483229557,10
2006,"connecticut",57,"2006-09-27","2006-10-03","2006-09-20",586,4,4.87058356295995,38.2047100819929,50.4525238261507,2.95833198125123,39.729744258123,9.62285982179759,50.6473959200795,0,-1,4.75227625883764,1.52503417613011,3.13865521748388,2.23139239443588,4.86980726337469,11
2006,"connecticut",56,"2006-09-20","2006-09-26","2006-09-13",586,4,4.36334985291602,41.8980981446866,47.3752021494813,2.95541857386844,39.729744258123,9.62285982179759,50.6473959200795,0,-1,5.25950996888157,-2.16835388656364,1.54557804115896,1.86780972277828,4.21901595511081,11
2006,"connecticut",55,"2006-09-13","2006-09-19","2006-09-06",586,3,4.44411926176299,42.9041328554804,47.2938750922545,2.04340873988486,39.729744258123,9.62285982179759,50.6473959200795,0,-1,5.1787405600346,-3.17438859735744,1.00217598133858,2.41544595778888,3.54381609470979,11
2006,"connecticut",54,"2006-09-06","2006-09-12","2006-08-30",586,2,5.61647055036778,39.3835294496322,49.2705881879597,1.36667074694597,39.729744258123,9.62285982179759,50.6473959200795,0,-1,4.00638927142981,0.346214808490778,2.17630203996029,6.58279755914219,9.75528828185799,10
2006,"connecticut",53,"2006-08-30","2006-09-05","2006-08-23",600,2,3.34549157877968,39.5815589485422,47.7274578938984,1.43732968990275,39.729744258123,9.62285982179759,50.6473959200795,0,-1,6.27736824301791,0.148185309580768,3.21277677629934,5.98765159701591,10.6250002521069,8
2006,"connecticut",52,"2006-08-23","2006-08-29","2006-08-16",695,4,3.78804333616756,38.6908610100258,48.0297769116994,2.20140903441627,39.729744258123,9.62285982179759,50.6473959200795,0,-1,5.83481648563003,1.03888324809715,3.43684986686359,5.88401270492351,9.31370099443821,7
2006,"connecticut",51,"2006-08-16","2006-08-22","2006-08-09",790,5,3.87311008651909,41.2929714112637,47.0564662713137,3.16876134853475,39.729744258123,9.62285982179759,50.6473959200795,0,-1,5.7497497352785,-1.56322715314068,2.09326129106891,4.3640108866517,6.58659575770185,8
2006,"connecticut",50,"2006-08-09","2006-08-15","2006-08-02",1041.5,2,4.62586670028837,41,50.8094665489907,1.34293896374616,39.729744258123,9.62285982179759,50.6473959200795,0,-1,4.99699312150922,-1.270255741877,1.86336868981611,5.81298460297368,7.83064015076803,7
2006,"connecticut",48,"2006-07-26","2006-08-01","2006-07-19",1268,1,13,40,40,0.26747733960067,39.729744258123,9.62285982179759,50.6473959200795,0,-1,-3.37714017820241,-0.270255741877001,-1.82369796003971,0.591466136500749,9.53938633555552,6
2006,"connecticut",47,"2006-07-19","2006-07-25","2006-07-12",1268,2,10.7428854493923,32.664377710525,46.2070650141712,1.23618730535769,39.729744258123,9.62285982179759,50.6473959200795,0,-1,-1.12002562759471,7.06536654759802,2.97267046000166,2.02751563777366,10.1775170924557,6
2006,"connecticut",46,"2006-07-12","2006-07-18","2006-07-05",1536,1,9,27,51,1.27628611604138,39.729744258123,9.62285982179759,50.6473959200795,0,-1,0.62285982179759,12.729744258123,6.67630203996029,5.67386085565188,13.0804334096645,6
2006,"connecticut",42,"2006-06-14","2006-06-20","2006-06-07",1018,1,15,29,44,0.31490207882898,39.729744258123,9.62285982179759,50.6473959200795,0,-1,-5.37714017820241,10.729744258123,2.67630203996029,1.56018956687174,10.5424461599594,6
2006,"connecticut",41,"2006-06-07","2006-06-13","2006-05-31",1018,2,11.2887441758047,23.1680265619788,50.3621528414777,1.34973842887109,39.729744258123,9.62285982179759,50.6473959200795,0,-1,-1.66588435400711,16.5617176961442,7.44791667106854,3.22786624720174,10.7873822093436,5
